試行,bh,bc,hloss,cop_shift,cool_a,defrost_f,最高の県,最高円,最安の県,最安円,倍率,札幌円,東京円,札幌_効率一定円,過小評価%,東京の順位,上位5は北海道と東北か
576,20.0,24.0,200.0,0.85,5.7,0.95,北海道,257474,沖縄県,39907,6.45,257474,96942,208765,18.9,23,はい
577,20.0,24.0,200.0,1.0,4.3,0.78,北海道,248498,鹿児島県,49981,4.97,248498,88981,177861,28.4,24,はい
578,20.0,24.0,200.0,1.0,4.3,0.85,北海道,235044,鹿児島県,49981,4.7,235044,88981,177861,24.3,24,はい
579,20.0,24.0,200.0,1.0,4.3,0.95,北海道,219263,鹿児島県,49981,4.39,219263,88981,177861,18.9,24,はい
580,20.0,24.0,200.0,1.0,5.0,0.78,北海道,248336,沖縄県,43912,5.66,248336,86298,177700,28.4,23,はい
581,20.0,24.0,200.0,1.0,5.0,0.85,北海道,234882,沖縄県,43912,5.35,234882,86298,177700,24.3,23,はい
582,20.0,24.0,200.0,1.0,5.0,0.95,北海道,219102,沖縄県,43912,4.99,219102,86298,177700,18.9,23,はい
583,20.0,24.0,200.0,1.0,5.7,0.78,北海道,248215,沖縄県,38828,6.39,248215,84328,177579,28.5,23,はい
584,20.0,24.0,200.0,1.0,5.7,0.85,北海道,234761,沖縄県,38828,6.05,234761,84328,177579,24.4,23,はい
585,20.0,24.0,200.0,1.0,5.7,0.95,北海道,218981,沖縄県,38828,5.64,218981,84328,177579,18.9,23,はい
586,20.0,24.0,200.0,1.15,4.3,0.78,北海道,216233,鹿児島県,45922,4.71,216233,79658,154810,28.4,24,はい
587,20.0,24.0,200.0,1.15,4.3,0.85,北海道,204534,鹿児島県,45922,4.45,204534,79658,154810,24.3,24,はい
588,20.0,24.0,200.0,1.15,4.3,0.95,北海道,190812,鹿児島県,45922,4.16,190812,79658,154810,18.9,24,はい
589,20.0,24.0,200.0,1.15,5.0,0.78,北海道,216072,鹿児島県,42976,5.03,216072,76974,154649,28.4,24,はい
590,20.0,24.0,200.0,1.15,5.0,0.85,北海道,204373,鹿児島県,42976,4.76,204373,76974,154649,24.3,24,はい
591,20.0,24.0,200.0,1.15,5.0,0.95,北海道,190651,鹿児島県,42976,4.44,190651,76974,154649,18.9,24,はい
592,20.0,24.0,200.0,1.15,5.7,0.78,北海道,215950,沖縄県,38031,5.68,215950,75005,154528,28.4,23,はい
593,20.0,24.0,200.0,1.15,5.7,0.85,北海道,204251,沖縄県,38031,5.37,204251,75005,154528,24.3,23,はい
594,20.0,24.0,200.0,1.15,5.7,0.95,北海道,190529,沖縄県,38031,5.01,190529,75005,154528,18.9,23,はい
595,20.0,24.0,234.6,0.85,4.3,0.78,北海道,342691,沖縄県,60935,5.62,342691,119170,245213,28.4,23,はい
596,20.0,24.0,234.6,0.85,4.3,0.85,北海道,324125,沖縄県,60935,5.32,324125,119170,245213,24.3,23,はい
597,20.0,24.0,234.6,0.85,4.3,0.95,北海道,302348,沖縄県,60935,4.96,302348,119170,245213,18.9,23,はい
598,20.0,24.0,234.6,0.85,5.0,0.78,北海道,342502,沖縄県,52775,6.49,342502,116023,245024,28.5,23,はい
599,20.0,24.0,234.6,0.85,5.0,0.85,北海道,323936,沖縄県,52775,6.14,323936,116023,245024,24.4,23,はい
600,20.0,24.0,234.6,0.85,5.0,0.95,北海道,302159,沖縄県,52775,5.73,302159,116023,245024,18.9,23,はい
601,20.0,24.0,234.6,0.85,5.7,0.78,北海道,342360,沖縄県,46810,7.31,342360,113713,244882,28.5,23,はい
602,20.0,24.0,234.6,0.85,5.7,0.85,北海道,323794,沖縄県,46810,6.92,323794,113713,244882,24.4,23,はい
603,20.0,24.0,234.6,0.85,5.7,0.95,北海道,302017,沖縄県,46810,6.45,302017,113713,244882,18.9,23,はい
604,20.0,24.0,234.6,1.0,4.3,0.78,北海道,291488,鹿児島県,58628,4.97,291488,104374,208631,28.4,24,はい
605,20.0,24.0,234.6,1.0,4.3,0.85,北海道,275706,鹿児島県,58628,4.7,275706,104374,208631,24.3,24,はい
606,20.0,24.0,234.6,1.0,4.3,0.95,北海道,257196,鹿児島県,58628,4.39,257196,104374,208631,18.9,24,はい
607,20.0,24.0,234.6,1.0,5.0,0.78,北海道,291298,沖縄県,51509,5.66,291298,101227,208442,28.4,23,はい
608,20.0,24.0,234.6,1.0,5.0,0.85,北海道,275517,沖縄県,51509,5.35,275517,101227,208442,24.3,23,はい
609,20.0,24.0,234.6,1.0,5.0,0.95,北海道,257007,沖縄県,51509,4.99,257007,101227,208442,18.9,23,はい
610,20.0,24.0,234.6,1.0,5.7,0.78,北海道,291156,沖縄県,45545,6.39,291156,98917,208300,28.5,23,はい
611,20.0,24.0,234.6,1.0,5.7,0.85,北海道,275375,沖縄県,45545,6.05,275375,98917,208300,24.4,23,はい
612,20.0,24.0,234.6,1.0,5.7,0.95,北海道,256864,沖縄県,45545,5.64,256864,98917,208300,18.9,23,はい
613,20.0,24.0,234.6,1.15,4.3,0.78,北海道,253641,鹿児島県,53866,4.71,253641,93438,181592,28.4,24,はい
614,20.0,24.0,234.6,1.15,4.3,0.85,北海道,239919,鹿児島県,53866,4.45,239919,93438,181592,24.3,24,はい
615,20.0,24.0,234.6,1.15,4.3,0.95,北海道,223823,鹿児島県,53866,4.16,223823,93438,181592,18.9,24,はい
616,20.0,24.0,234.6,1.15,5.0,0.78,北海道,253452,鹿児島県,50410,5.03,253452,90291,181403,28.4,24,はい
617,20.0,24.0,234.6,1.15,5.0,0.85,北海道,239729,鹿児島県,50410,4.76,239729,90291,181403,24.3,24,はい
